timestamp,kwh,building,month,hour
2023-02-01 00:00:00,15.086834670234817,BuildingA,Feb,0
2023-02-01 01:00:00,85.49627458910207,BuildingA,Feb,1
2023-02-01 02:00:00,10.40055258733874,BuildingA,Feb,2
2023-02-01 03:00:00,70.35377514533553,BuildingA,Feb,3
2023-02-01 04:00:00,26.8577873661483,BuildingA,Feb,4
2023-02-01 05:00:00,18.292416490510096,BuildingA,Feb,5
2023-02-01 06:00:00,91.0214897108178,BuildingA,Feb,6
2023-02-01 07:00:00,69.83316152838077,BuildingA,Feb,7
2023-02-01 08:00:00,85.5417040602225,BuildingA,Feb,8
2023-02-01 09:00:00,29.39931637965501,BuildingA,Feb,9
2023-02-01 10:00:00,28.220551763480632,BuildingA,Feb,10
2023-02-01 11:00:00,28.12452782303452,BuildingA,Feb,11
2023-02-01 12:00:00,34.00976398600798,BuildingA,Feb,12
2023-02-01 13:00:00,54.324970865106735,BuildingA,Feb,13
2023-02-01 14:00:00,14.198536565866853,BuildingA,Feb,14
2023-02-01 15:00:00,83.87562054376033,BuildingA,Feb,15
2023-02-01 16:00:00,63.95247115025504,BuildingA,Feb,16
2023-02-01 17:00:00,36.70514697172786,BuildingA,Feb,17
2023-02-01 18:00:00,96.7178705386304,BuildingA,Feb,18
2023-02-01 19:00:00,58.64047703981006,BuildingA,Feb,19
2023-02-01 20:00:00,28.47896009985513,BuildingA,Feb,20
2023-02-01 21:00:00,73.44194230974635,BuildingA,Feb,21
2023-02-01 22:00:00,44.76897003714237,BuildingA,Feb,22
2023-02-01 23:00:00,54.407441374005614,BuildingA,Feb,23
2023-02-02 00:00:00,62.54877554963481,BuildingA,Feb,0
2023-02-02 01:00:00,43.323615979005055,BuildingA,Feb,1
2023-02-02 02:00:00,97.68040346345038,BuildingA,Feb,2
2023-02-02 03:00:00,16.78207193248994,BuildingA,Feb,3
2023-02-02 04:00:00,19.025105702814862,BuildingA,Feb,4
2023-02-02 05:00:00,40.23769912995732,BuildingA,Feb,5
2023-02-02 06:00:00,86.11664306133989,BuildingA,Feb,6
2023-02-02 07:00:00,38.175882651219226,BuildingA,Feb,7
2023-02-02 08:00:00,78.04743551959373,BuildingA,Feb,8
2023-02-02 09:00:00,28.11037187601212,BuildingA,Feb,9
2023-02-02 10:00:00,70.06130035578931,BuildingA,Feb,10
2023-02-02 11:00:00,60.58379259379961,BuildingA,Feb,11
2023-02-02 12:00:00,51.27816277161098,BuildingA,Feb,12
2023-02-02 13:00:00,69.62538253560493,BuildingA,Feb,13
2023-02-02 14:00:00,25.451734498503352,BuildingA,Feb,14
2023-02-02 15:00:00,99.49967132406664,BuildingA,Feb,15
2023-02-02 16:00:00,72.12918925502463,BuildingA,Feb,16
2023-02-02 17:00:00,28.063044597035365,BuildingA,Feb,17
2023-02-02 18:00:00,79.32388789201502,BuildingA,Feb,18
2023-02-02 19:00:00,60.883992856379365,BuildingA,Feb,19
2023-02-02 20:00:00,23.99506952997084,BuildingA,Feb,20
2023-02-02 21:00:00,69.89208895678254,BuildingA,Feb,21
2023-02-02 22:00:00,37.25667463116859,BuildingA,Feb,22
2023-02-02 23:00:00,12.959676481342234,BuildingA,Feb,23
2023-02-03 00:00:00,72.93969678188722,BuildingA,Feb,0
2023-02-03 01:00:00,79.39991748038925,BuildingA,Feb,1
2023-02-03 02:00:00,51.46969652465933,BuildingA,Feb,2
2023-02-03 03:00:00,83.59198433444531,BuildingA,Feb,3
2023-02-03 04:00:00,60.22384750927074,BuildingA,Feb,4
2023-02-03 05:00:00,55.36344021411816,BuildingA,Feb,5
2023-02-03 06:00:00,67.56746754174034,BuildingA,Feb,6
2023-02-03 07:00:00,98.94828192561008,BuildingA,Feb,7
2023-02-03 08:00:00,21.665147201782837,BuildingA,Feb,8
2023-02-03 09:00:00,26.002032099602182,BuildingA,Feb,9
2023-02-03 10:00:00,90.10980489982954,BuildingA,Feb,10
2023-02-03 11:00:00,90.26373736540738,BuildingA,Feb,11
2023-02-03 12:00:00,28.783048254740923,BuildingA,Feb,12
2023-02-03 13:00:00,63.472318436645246,BuildingA,Feb,13
2023-02-03 14:00:00,37.312156550608215,BuildingA,Feb,14
2023-02-03 15:00:00,69.78727595155883,BuildingA,Feb,15
2023-02-03 16:00:00,97.12583860723988,BuildingA,Feb,16
2023-02-03 17:00:00,97.82788415576812,BuildingA,Feb,17
2023-02-03 18:00:00,94.23235331174138,BuildingA,Feb,18
2023-02-03 19:00:00,22.054163286471915,BuildingA,Feb,19
2023-02-03 20:00:00,72.50597214469639,BuildingA,Feb,20
2023-02-03 21:00:00,26.10907732837998,BuildingA,Feb,21
2023-02-03 22:00:00,13.190471025201347,BuildingA,Feb,22
2023-02-03 23:00:00,16.396434623153603,BuildingA,Feb,23
